model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
gen_loto_bcos_0,results\models\gen_loto_bcos_0.pth,,general_loto_bcos,,,0,scratch,92562,1543,2316,38,2.2791855793732863,2.3829339805402254,2.3829339805402254,1470.887534379959,False
gen_loto_bcos_1,results\models\gen_loto_bcos_1.pth,,general_loto_bcos,,,1,scratch,92574,1538,2309,13,3.2794702236468973,3.3277472822289718,3.3277472822289718,713.317545413971,True
gen_loto_bcos_2,results\models\gen_loto_bcos_2.pth,,general_loto_bcos,,,2,scratch,92546,1550,2325,5,3.6024207335252028,3.5033361158872904,3.5033361158872904,426.2972483634949,True
gen_loto_bcos_3,results\models\gen_loto_bcos_3.pth,,general_loto_bcos,,,3,scratch,92556,1546,2319,23,2.063103730861957,2.0513022698854146,2.0513022698854146,1070.4172148704529,True
gen_loto_bcos_4,results\models\gen_loto_bcos_4.pth,,general_loto_bcos,,,4,scratch,92521,1560,2340,24,2.70893801175631,2.8345603064486853,2.8345603064486853,1106.0796525478363,True
gen_loto_bcos_5,results\models\gen_loto_bcos_5.pth,,general_loto_bcos,,,5,scratch,92536,1554,2331,40,1.9431448257886446,1.8766822814941406,1.8766822814941406,1464.313660621643,False
gen_loto_bcos_6,results\models\gen_loto_bcos_6.pth,,general_loto_bcos,,,6,scratch,92544,1550,2327,16,1.9018546801346998,1.8467282746967517,1.8467282746967517,819.9018018245697,True
gen_loto_bcos_7,results\models\gen_loto_bcos_7.pth,,general_loto_bcos,,,7,scratch,92567,1541,2313,25,1.954726897753202,1.8521662197614972,1.8521662197614972,1142.9980318546295,True
gen_loto_bcos_8,results\models\gen_loto_bcos_8.pth,,general_loto_bcos,,,8,scratch,92562,1543,2316,21,1.7642810894892766,1.868594765663147,1.868594765663147,998.6236064434052,True
gen_loto_bcos_9,results\models\gen_loto_bcos_9.pth,,general_loto_bcos,,,9,scratch,92549,1548,2324,26,2.0800302853951087,2.0916921653245626,2.0916921653245626,1177.447261095047,True
gen_loto_bcos_10,results\models\gen_loto_bcos_10.pth,,general_loto_bcos,,,10,scratch,92526,1558,2337,34,1.9291901588439941,1.8642694322686446,1.8642694322686446,1463.5394260883331,True
gen_loto_bcos_11,results\models\gen_loto_bcos_11.pth,,general_loto_bcos,,,11,scratch,92592,1531,2298,13,2.267228881518046,2.224054667684767,2.224054667684767,712.8345715999603,True
gen_loto_bcos_12,results\models\gen_loto_bcos_12.pth,,general_loto_bcos,,,12,scratch,92587,1533,2301,40,1.5533803304036458,1.5048521624671087,1.5048521624671087,1464.93092918396,False
gen_loto_bcos_13,results\models\gen_loto_bcos_13.pth,,general_loto_bcos,,,13,scratch,92593,1531,2297,35,1.479540377855301,1.4468761086463928,1.4468761086463928,1464.6965763568878,False
gen_loto_bcos_14,results\models\gen_loto_bcos_14.pth,,general_loto_bcos,,,14,scratch,92553,1547,2321,22,2.581410417189965,2.7513275397451302,2.7513275397451302,1035.1342449188232,True
gen_loto_bcos_15,results\models\gen_loto_bcos_15.pth,,general_loto_bcos,,,15,scratch,92563,1543,2315,37,2.1171444746164174,2.1208602817435014,2.1208602817435014,1464.2520003318787,False
gen_loto_bcos_16,results\models\gen_loto_bcos_16.pth,,general_loto_bcos,,,16,scratch,92533,1555,2333,18,1.6651814167316144,1.6534659109617535,1.6534659109617535,891.5400025844574,True
gen_loto_bcos_17,results\models\gen_loto_bcos_17.pth,,general_loto_bcos,,,17,scratch,92611,1524,2286,16,1.9466954867045085,2.071330613560147,2.071330613560147,820.6601040363312,True
gen_loto_bcos_18,results\models\gen_loto_bcos_18.pth,,general_loto_bcos,,,18,scratch,92584,1534,2303,23,1.777866154909134,1.8478669855329726,1.8478669855329726,1070.3986885547638,True
gen_loto_bcos_19,results\models\gen_loto_bcos_19.pth,,general_loto_bcos,,,19,scratch,92595,1530,2296,37,2.015959541002909,2.092778397930993,2.092778397930993,1463.7471897602081,False
gen_loto_bcos_20,results\models\gen_loto_bcos_20.pth,,general_loto_bcos,,,20,scratch,92559,1544,2318,36,2.5715022453894982,2.7052735278480933,2.7052735278480933,1464.1374740600586,False
gen_loto_bcos_21,results\models\gen_loto_bcos_21.pth,,general_loto_bcos,,,21,scratch,92592,1531,2298,16,2.840060810248057,2.755083349015978,2.755083349015978,820.0336956977844,True
gen_loto_bcos_22,results\models\gen_loto_bcos_22.pth,,general_loto_bcos,,,22,scratch,92588,1533,2300,35,1.6702198286851246,1.7024227645662096,1.7024227645662096,1460.7021543979645,False
gen_loto_bcos_23,results\models\gen_loto_bcos_23.pth,,general_loto_bcos,,,23,scratch,92573,1539,2309,30,1.9549020253694975,1.9791670723965293,1.9791670723965293,1320.9599843025208,True
gen_loto_bcos_24,results\models\gen_loto_bcos_24.pth,,general_loto_bcos,,,24,scratch,92538,1553,2330,12,3.6399583633129415,3.6788274112500643,3.6788274112500643,676.6076858043671,True
